SA2011,imd_rank,income_rank,employment_rank,health_rank,education_rank,services_rank,environment_rank,crime_rank
N00000001,3051,3608,4511,4537,1532,208,1252,4206
N00000002,3726,4319,3042,2814,3382,1555,1946,3381
N00000003,3733,3383,4013,3761,3728,493,3838,4190
N00000004,3409,2621,3548,3666,3325,642,3648,4374
N00000005,2828,1934,3197,3596,3783,319,3581,3843
N00000006,3871,4364,4018,3064,3048,906,2604,4218
N00000007,2891,2146,3190,4022,3486,387,1827,4152
N00000008,1594,2079,1209,1423,2724,961,673,2017
N00000009,3824,2868,4280,4166,3635,804,4358,3352
N00000010,2821,3175,2475,3388,3725,434,696,4122
N00000011,2398,4245,2039,1463,1451,1778,3257,496
N00000012,2724,3730,2284,1583,2022,2168,2158,1466
N00000013,2679,3606,1815,2095,2922,3632,865,481
N00000014,2703,3660,2008,1473,1843,2309,4281,1930
N00000015,1141,2456,795,918,529,2287,2864,935
N00000016,1040,932,1459,1003,721,2311,2603,506
N00000017,1473,789,1737,1530,2109,1424,3869,1685
N00000018,3243,3868,2744,2162,2437,1747,2622,2228
N00000019,1633,3388,1103,1226,1080,1398,2461,1237
N00000020,502,381,685,425,1087,1819,4018,620
N00000021,1597,3265,1158,766,1082,2225,3530,910
N00000022,1215,926,2127,1162,890,1634,1551,934
N00000023,1358,1307,1471,906,1704,1764,3448,592
N00000024,3768,3358,4009,4258,4063,464,3767,3298
N00000025,3070,3238,3406,3660,3085,273,2079,3022
N00000026,3081,2597,3752,3411,3482,357,2588,2527
N00000027,1553,543,2208,3110,2685,871,2257,1567
N00000028,3334,1833,3453,3212,3567,1697,3710,3625
N00000029,2562,1123,4125,4308,3948,267,2298,3488
N00000030,2588,4026,3919,3286,3381,134,64,2024
N00000031,2563,2120,3573,3245,4218,47,3400,4261
N00000032,3775,4016,3050,2510,3687,1612,3412,3707
N00000033,1950,565,3488,3982,4133,414,881,4121
N00000034,4078,4106,3412,3369,3038,2167,3935,4459
N00000035,1048,1515,740,1063,678,2052,3309,1498
N00000036,3031,3689,2052,2097,2161,2497,4360,1812
N00000037,2450,3980,1695,1601,1435,2046,4030,1220
N00000038,2702,2210,2713,1902,2978,1014,4132,3125
N00000039,2796,3525,2494,1871,2363,1448,3820,862
N00000040,1905,4130,1287,1646,504,2178,4496,1322
N00000041,3507,3066,2951,2756,3327,1592,4525,3217
N00000042,3233,2495,3720,2256,2589,1556,3215,3143
N00000043,2959,3736,2195,1976,2483,1584,4302,1660
N00000044,854,256,2155,1776,975,2828,1245,236
N00000045,3499,3328,3838,3703,3727,375,3205,3384
N00000046,1312,165,3833,3950,3355,466,556,4192
N00000047,3561,3973,2693,3034,3458,1321,1912,4111
N00000048,1721,1644,2025,1507,919,2195,2374,1661
