soa_code,population
N00000001,1021
N00000002,427
N00000003,258
N00000004,639
N00000005,491
N00000006,312
N00000007,252
N00000008,308
N00000009,810
N00000010,256
N00000011,329
N00000012,246
N00000013,258
N00000014,474
N00000015,247
N00000016,219
N00000017,392
N00000018,236
N00000019,313
N00000020,220
N00000021,269
N00000022,229
N00000023,232
N00000024,552
N00000025,521
N00000026,517
N00000027,593
N00000028,371
N00000029,437
N00000030,364
N00000031,801
N00000032,351
N00000033,553
N00000034,431
N00000035,272
N00000036,336
N00000037,241
N00000038,421
N00000039,1255
N00000040,267
N00000041,428
N00000042,372
N00000043,1171
N00000044,335
N00000045,505
N00000046,368
N00000047,361
N00000048,295
N00000049,299
N00000050,295
N00000051,330
N00000052,382
N00000053,239
N00000054,270
N00000055,257
N00000056,254
N00000057,291
N00000058,293
N00000059,214
N00000060,384
N00000061,302
N00000062,432
N00000063,444
N00000064,282
N00000065,358
N00000066,253
N00000067,327
N00000068,346
N00000069,325
N00000070,231
N00000071,352
N00000072,1686
N00000073,534
N00000074,1330
N00000075,442
N00000076,320
N00000077,260
N00000078,504
N00000079,572
N00000080,389
N00000081,321
N00000082,377
N00000083,658
N00000084,471
N00000085,436
N00000086,445
N00000087,997
N00000088,231
N00000089,450
N00000090,412
N00000091,464
N00000092,490
N00000093,407
N00000094,542
N00000095,498
N00000096,520
N00000097,841
N00000098,1598
N00000099,286
N00000100,325
N00000101,452
N00000102,300
N00000103,726
N00000104,347
N00000105,326
N00000106,217
N00000107,269
N00000108,241
N00000109,484
N00000110,272
N00000111,323
N00000112,392
N00000113,286
N00000114,286
N00000115,314
N00000116,284
N00000117,164
N00000118,367
N00000119,354
N00000120,322
N00000121,238
N00000122,512
N00000123,346
N00000124,429
N00000125,494
N00000126,460
N00000127,468
N00000128,995
N00000129,352
N00000130,623
N00000131,399
N00000132,392
N00000133,369
N00000134,420
N00000135,363
N00000136,458
N00000137,316
N00000138,414
N00000139,312
N00000140,377
N00000141,429
N00000142,212
N00000143,354
N00000144,234
N00000145,140
N00000146,276
N00000147,208
N00000148,716
N00000149,441
N00000150,364
N00000151,262
N00000152,270
N00000153,230
N00000154,256
N00000155,355
N00000156,275
N00000157,384
N00000158,827
N00000159,218
N00000160,282
N00000161,368
N00000162,264
N00000163,296
N00000164,315
N00000165,303
N00000166,435
N00000167,466
N00000168,363
N00000169,730
N00000170,349
N00000171,437
N00000172,800
N00000173,347
N00000174,465
N00000175,362
N00000176,430
N00000177,296
N00000178,679
N00000179,958
N00000180,275
N00000181,298
N00000182,239
N00000183,310
N00000184,425
N00000185,197
N00000186,326
N00000187,266
N00000188,314
N00000189,429
N00000190,354
N00000191,281
N00000192,314
